Year,Civilian labor force (thousands),Percent distribution,,,,
,,Total,Less than a high school diploma,"High school graduates, no college(1)",Some college or associate's degree,Bachelor's degree and higher(2)
Total,,,,,,
1992,"103,018",100.0,12.1,35.7,25.6,26.6
1993,"104,237",100.0,11.3,35.1,26.6,27.0
1994,"105,610",100.0,10.8,33.9,27.7,27.6
1995,"107,032",100.0,10.4,33.2,28.1,28.3
1996,"108,932",100.0,10.6,32.9,27.8,28.7
1997,"110,945",100.0,10.6,32.9,27.5,29.0
1998,"111,932",100.0,10.5,32.4,27.4,29.8
1999,"113,095",100.0,10.0,31.8,27.6,30.5
2000,"115,750",100.0,10.1,31.4,27.8,30.7
2001,"116,893",100.0,10.1,30.9,28.0,31.0
2002,"118,028",100.0,10.0,30.7,27.7,31.6
2003,"119,621",100.0,9.9,30.3,27.6,32.1
2004,"120,135",100.0,9.7,30.1,27.7,32.4
2005,"121,752",100.0,9.8,29.9,27.8,32.5
2006,"123,550",100.0,9.7,29.6,27.7,33.0
2007,"125,104",100.0,9.3,29.2,27.7,33.8
2008,"126,011",100.0,9.0,28.8,28.0,34.2
2009,"126,247",100.0,9.0,28.6,28.0,34.4
2010,"126,237",100.0,8.9,28.6,27.9,34.6
2011,"125,508",100.0,8.7,28.0,28.0,35.3
2012,"125,963",100.0,8.4,27.4,28.2,36.0
2013,"125,892",100.0,8.2,27.1,28.0,36.7
2014,"126,269",100.0,8.0,26.7,27.9,37.3
2015,"127,106",100.0,8.1,25.9,27.7,38.2
2016,"128,713",100.0,7.8,25.9,27.6,38.7
2017,"129,582",100.0,7.4,25.8,27.2,39.5
2018,"131,058",100.0,7.3,25.6,26.7,40.4
2019,"131,783",100.0,7.0,25.4,26.3,41.2
Women,,,,,,
1992,"46,589",100.0,10.3,37.4,27.3,25.0
1993,"47,245",100.0,9.3,36.6,28.4,25.7
1994,"48,405",100.0,9.0,35.0,29.8,26.2
1995,"49,247",100.0,8.8,34.1,30.2,26.9
1996,"50,240",100.0,8.8,33.6,29.9,27.8
1997,"51,261",100.0,8.7,33.5,29.4,28.4
1998,"51,678",100.0,8.8,32.7,29.4,29.2
1999,"52,525",100.0,8.5,32.1,29.5,29.9
2000,"53,749",100.0,8.5,31.6,29.8,30.1
2001,"54,229",100.0,8.4,31.0,30.2,30.4
2002,"54,710",100.0,8.1,30.6,29.9,31.3
2003,"55,596",100.0,7.9,30.0,29.9,32.2
2004,"55,616",100.0,7.7,29.4,30.2,32.6
2005,"56,322",100.0,7.7,28.7,30.2,33.3
2006,"57,201",100.0,7.6,28.3,30.2,33.9
2007,"57,791",100.0,7.1,27.9,30.1,34.9
2008,"58,465",100.0,6.9,27.2,30.4,35.6
2009,"58,787",100.0,7.0,26.7,30.3,36.0
2010,"58,808",100.0,6.8,26.4,30.3,36.4
2011,"58,520",100.0,6.7,25.8,30.4,37.1
2012,"59,031",100.0,6.5,25.0,30.4,38.1
2013,"58,812",100.0,6.3,24.6,30.1,39.0
2014,"58,983",100.0,6.1,24.1,29.8,40.0
2015,"59,252",100.0,6.1,23.2,29.6,41.1
2016,"60,049",100.0,6.0,22.9,29.6,41.6
2017,"60,614",100.0,5.8,22.7,28.9,42.7
2018,"61,182",100.0,5.7,22.3,28.3,43.8
2019,"61,704",100.0,5.4,22.0,27.5,45.0
Men,,,,,,
1992,"56,428",100.0,13.7,34.2,24.3,27.8
1993,"56,992",100.0,12.9,33.9,25.1,28.1
1994,"57,205",100.0,12.4,33.0,25.9,28.8
1995,"57,784",100.0,11.8,32.4,26.3,29.4
1996,"58,692",100.0,12.2,32.3,26.1,29.4
1997,"59,684",100.0,12.2,32.4,25.9,29.6
1998,"60,255",100.0,12.0,32.1,25.6,30.3
1999,"60,570",100.0,11.4,31.6,26.0,31.0
2000,"62,001",100.0,11.5,31.2,26.1,31.2
2001,"62,664",100.0,11.5,30.9,26.2,31.4
2002,"63,318",100.0,11.6,30.8,25.8,31.8
2003,"64,025",100.0,11.7,30.6,25.6,32.1
2004,"64,519",100.0,11.5,30.7,25.6,32.3
2005,"65,430",100.0,11.5,30.9,25.7,31.9
2006,"66,350",100.0,11.5,30.6,25.5,32.3
2007,"67,313",100.0,11.2,30.4,25.6,32.9
2008,"67,546",100.0,10.9,30.2,25.9,33.0
2009,"67,460",100.0,10.8,30.3,25.9,33.0
2010,"67,429",100.0,10.6,30.6,25.8,33.0
2011,"66,989",100.0,10.4,30.0,26.0,33.7
2012,"66,932",100.0,10.0,29.6,26.2,34.1
2013,"67,081",100.0,9.8,29.2,26.2,34.7
2014,"67,287",100.0,9.8,29.1,26.2,35.0
2015,"67,853",100.0,9.9,28.4,26.0,35.7
2016,"68,664",100.0,9.3,28.6,25.9,36.2
2017,"68,968",100.0,8.9,28.6,25.7,36.8
2018,"69,876",100.0,8.8,28.4,25.3,37.5
2019,"70,079",100.0,8.5,28.4,25.2,37.9
(1) Includes people with a high school diploma or equivalent.,,,,,,
